id,cluster
061_Pitbull - Feel This Moment (Official Video) ft. Christina Aguilera_clip5,-1
062_Meghan Trainor - NO (Official Video)_clip0,-1
062_Meghan Trainor - NO (Official Video)_clip1,-1
062_Meghan Trainor - NO (Official Video)_clip2,-1
062_Meghan Trainor - NO (Official Video)_clip3,-1
062_Meghan Trainor - NO (Official Video)_clip4,-1
062_Meghan Trainor - NO (Official Video)_clip5,-1
063_Taylor Swift - 22_clip0,-1
063_Taylor Swift - 22_clip1,-1
063_Taylor Swift - 22_clip2,-1
063_Taylor Swift - 22_clip3,-1
063_Taylor Swift - 22_clip4,-1
063_Taylor Swift - 22_clip5,-1
063_Taylor Swift - 22_clip6,-1
064_Anna Kendrick - Cups (Pitch Perfect’s “When I’m Gone”) (Director's Cut)_clip0,-1
064_Anna Kendrick - Cups (Pitch Perfect’s “When I’m Gone”) (Director's Cut)_clip1,-1
064_Anna Kendrick - Cups (Pitch Perfect’s “When I’m Gone”) (Director's Cut)_clip2,-1
